run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260729T112655865104,v0,v0+pf0c107a9d7a1+t5e43794a1146,base,R01_user_tweets_routing,False,wrong_tool,provider_error,timeline,,False,False,False,"RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1785369600000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3Cr3KofvEPpkCJNWKnXcpjY4ouu'}"
v0_B_base_openrouter_20260729T112655865104,v0,v0+pf0c107a9d7a1+t5e43794a1146,base,R02_search_tweets_routing,False,wrong_tool,provider_error,social_search,,False,False,False,"RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1785369600000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3Cr3KofvEPpkCJNWKnXcpjY4ouu'}"
v0_B_base_openrouter_20260729T112655865104,v0,v0+pf0c107a9d7a1+t5e43794a1146,base,R03_web_news_routing,False,wrong_tool,provider_error,lookup,,False,False,False,"RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1785369600000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3Cr3KofvEPpkCJNWKnXcpjY4ouu'}"
v0_B_base_openrouter_20260729T112655865104,v0,v0+pf0c107a9d7a1+t5e43794a1146,base,R04_read_url_routing,False,wrong_tool,provider_error,fetch,,False,False,False,"RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1785369600000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3Cr3KofvEPpkCJNWKnXcpjY4ouu'}"
v0_B_base_openrouter_20260729T112655865104,v0,v0+pf0c107a9d7a1+t5e43794a1146,base,R05_limit_arg,False,wrong_arg_value,provider_error,timeline,,False,False,False,"RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1785369600000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3Cr3KofvEPpkCJNWKnXcpjY4ouu'}"
v0_B_base_openrouter_20260729T112655865104,v0,v0+pf0c107a9d7a1+t5e43794a1146,base,R06_timeframe_arg,False,wrong_arg_value,provider_error,lookup,,False,False,False,"RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1785369600000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3Cr3KofvEPpkCJNWKnXcpjY4ouu'}"
v0_B_base_openrouter_20260729T112655865104,v0,v0+pf0c107a9d7a1+t5e43794a1146,base,R07_search_type_arg,False,wrong_arg_value,provider_error,social_search,,False,False,False,"RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1785369600000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3Cr3KofvEPpkCJNWKnXcpjY4ouu'}"
v0_B_base_openrouter_20260729T112655865104,v0,v0+pf0c107a9d7a1+t5e43794a1146,base,R08_out_of_scope,False,out_of_scope,provider_error,no_tool,,False,False,False,"RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1785369600000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3Cr3KofvEPpkCJNWKnXcpjY4ouu'}"
v0_B_base_openrouter_20260729T112655865104,v0,v0+pf0c107a9d7a1+t5e43794a1146,base,R09_no_tool_capability,False,unnecessary_tool,provider_error,no_tool,,False,False,False,"RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1785369600000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3Cr3KofvEPpkCJNWKnXcpjY4ouu'}"
v0_B_base_openrouter_20260729T112655865104,v0,v0+pf0c107a9d7a1+t5e43794a1146,base,R10_missing_handle,False,missing_info,provider_error,clarify,,False,False,False,"RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1785369600000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3Cr3KofvEPpkCJNWKnXcpjY4ouu'}"
