version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,NguyenThanhAn,baseline,v0+pf0c107a9d7a1+t011c271ef0bb,pf0c107a9d7a1,t011c271ef0bb,Baseline chạy với system_prompt và tools.yaml mặc định chưa tối ưu,System prompt bảo agent đoán bừa thay vì hỏi lại; tools.yaml thiếu convention cho lookup (topic/timeframe/query format); không có multi-turn carry rule → case_accuracy thấp,case_accuracy,,0.40,v0_B_base_openrouter_20260729T103234896651.json
v0,NguyenThanhAn,baseline,v0+pf0c107a9d7a1+t011c271ef0bb,pf0c107a9d7a1,t011c271ef0bb,,,tool_routing_accuracy,,0.80,v0_B_base_openrouter_20260729T103234896651.json
v0,NguyenThanhAn,baseline,v0+pf0c107a9d7a1+t011c271ef0bb,pf0c107a9d7a1,t011c271ef0bb,,,argument_accuracy,,0.40,v0_B_base_openrouter_20260729T103234896651.json
v0,NguyenThanhAn,baseline,v0+pf0c107a9d7a1+t011c271ef0bb,pf0c107a9d7a1,t011c271ef0bb,,,multiturn_accuracy,,0.00,v0_B_base_openrouter_20260729T103234896651.json
v1,NguyenThanhAn,tools,v1+pf0c107a9d7a1+t3e45a31a81e5,pf0c107a9d7a1,t3e45a31a81e5,Sửa descriptions trong tools.yaml cho lookup/timeline/social_search: thêm convention query=keyword ngắn; trigger topic/timeframe từ ngữ cảnh; map tên→handle; trích limit từ câu số,Dự kiến fix R03/R06/R13 (verbose query) và R05/M01/M05 (limit=None). Thực tế: case_accuracy không đổi (0.40); tool_routing_accuracy=0.70; argument_accuracy=0.40; multiturn=0.0. Model vẫn viết query verbose và bỏ limit → tools.yaml descriptions không đủ; cần rule rõ trong system_prompt,case_accuracy,0.40,0.40,v1_B_base_openrouter_20260729T110327146831.json
v1,NguyenThanhAn,tools,v1+pf0c107a9d7a1+t3e45a31a81e5,pf0c107a9d7a1,t3e45a31a81e5,,,tool_routing_accuracy,0.80,0.70,v1_B_base_openrouter_20260729T110327146831.json
v1,NguyenThanhAn,tools,v1+pf0c107a9d7a1+t3e45a31a81e5,pf0c107a9d7a1,t3e45a31a81e5,,,argument_accuracy,0.40,0.40,v1_B_base_openrouter_20260729T110327146831.json
v1,NguyenThanhAn,tools,v1+pf0c107a9d7a1+t3e45a31a81e5,pf0c107a9d7a1,t3e45a31a81e5,,,multiturn_accuracy,0.00,0.00,v1_B_base_openrouter_20260729T110327146831.json
v2,NguyenThanhAn,system_prompt,v2+p70fed5b478f4+t5e43794a1146,p70fed5b478f4,t5e43794a1146,Viết lại system_prompt.md: tool routing rules; clarify boundary (thiếu handle/URL → clarify text; hành động ghi → clarify yes_no); arg rules (handle map/limit/query ngắn/topic+timeframe trigger); multi-turn carry rules,"Clarify rules fix R10/R12; arg rules fix R05/R06; carry rules fix M01-M06. Full run 20/20 measured: case_accuracy=0.55 (tăng từ 0.40); routing=0.80; args=0.55; multiturn=0.1667",case_accuracy,0.40,0.55,v2_B_base_openrouter_20260729T115719583464.json
v2,NguyenThanhAn,system_prompt,v2+p70fed5b478f4+t5e43794a1146,p70fed5b478f4,t5e43794a1146,,,tool_routing_accuracy,0.70,0.80,v2_B_base_openrouter_20260729T115719583464.json
v2,NguyenThanhAn,system_prompt,v2+p70fed5b478f4+t5e43794a1146,p70fed5b478f4,t5e43794a1146,,,argument_accuracy,0.40,0.55,v2_B_base_openrouter_20260729T115719583464.json
v2,NguyenThanhAn,system_prompt,v2+p70fed5b478f4+t5e43794a1146,p70fed5b478f4,t5e43794a1146,,,multiturn_accuracy,0.00,0.1667,v2_B_base_openrouter_20260729T115719583464.json
v3,NguyenThanhAn,system_prompt+tools,v3+p20c2340a1865+tc887add49248,p20c2340a1865,tc887add49248,Tái cấu trúc system_prompt.md: thêm section CRITICAL RULES với 4 quy tắc tường minh (limit/timeframe/clarify yes_no/multi-turn trigger). Viết lại description của clarify/timeline/lookup trong tools.yaml để nhúng convention trực tiếp vào schema.,"Full run 19/20 measured (1 provider error M06): case_accuracy=0.5789; routing=0.8421; args=0.5789; multiturn=0.40. Cải thiện rõ ở M02+M04 (fix). limit vẫn lỗi ở R05/M01/M03/M05. R03 mới sinh extra tool call trending. R12 vẫn sai yes_no.",case_accuracy,0.55,0.5789,v3_B_base_openrouter_20260729T121419257606.json
v3,NguyenThanhAn,system_prompt+tools,v3+p20c2340a1865+tc887add49248,p20c2340a1865,tc887add49248,,,tool_routing_accuracy,0.80,0.8421,v3_B_base_openrouter_20260729T121419257606.json
v3,NguyenThanhAn,system_prompt+tools,v3+p20c2340a1865+tc887add49248,p20c2340a1865,tc887add49248,,,argument_accuracy,0.55,0.5789,v3_B_base_openrouter_20260729T121419257606.json
v3,NguyenThanhAn,system_prompt+tools,v3+p20c2340a1865+tc887add49248,p20c2340a1865,tc887add49248,,,multiturn_accuracy,0.1667,0.40,v3_B_base_openrouter_20260729T121419257606.json
